word,wordtype,origin,meaning_number,meaning
ಅಪರಂಜಿ,noun,ಸಂ ,1,ಚೊಕ್ಕ ಚಿನ್ನ
ಅಪರಪಕ್ಷ,noun,ಸಂ ,1,ಕೃಷ್ಣ ಪಕ್ಷ
ಅಪರಾಜಿತ,noun,ಸಂ ,1,ಸೋಲಿಲ್ಲದವನು
ಅಪರಾಧ,noun,ಸಂ ,1,ತಪ್ಪು
ಅಪಲಾಪ,noun,ಸಂ ,1,ಸುಳ್ಳು
ಅಪವರ್ಗ,noun,ಸಂ ,1,ಮೋಕ್ಷ
ಅಪವರ್ತನ,noun,ಸಂ ,1,ಭಾಜ್ಯವನ್ನು ನಿಶ್ಶೇಷವಾಗಿ ಭಾಗಿಸತಕ್ಕ ಸಂಖ್ಯೆ
ಅಪವಾದ,noun,ಸಂ ,1,ನಿಂದೆ
ಅಪಶಬ್ದ,noun,ಸಂ ,1,"ಅಶುದ್ಧವಾದ ಪದ, ವ್ಯಾಕರಣ ನಿಯಮಕ್ಕೆ ವಿರೋಧವಾದ ಮಾತು"
ಅಪಸರಣ,noun,ಸಂ ,1,ಹಿಮ್ಮೆಟ್ಟುವುದು
ಅಪಸವ್ಯ,noun,ಸಂ ,1,ಬಲಗಡೆ
ಅಪಸ್ಮಾರ,noun,ಸಂ ,1,ಮರೆವು
ಅಪಹರಣ,noun,ಸಂ ,1,ಕದಿಯುವುದು
